Stage,Plastochron,Internode,Treatment,Length
S5,P9,IN7,Zenith Low Light,1.70
S5,P9,IN7,Zenith Low Light,2.70
S5,P9,IN7,Zenith Low Light,1.00
S5,P9,IN7,Zenith Low Light,2.40
S5,P9,IN7,Zenith Low Light,1.40
S5,P9,IN7,Zenith Low Light,4.90
S5,P9,IN8,Zenith Low Light,1.20
S5,P9,IN8,Zenith Low Light,1.20
S5,P9,IN8,Zenith Low Light,0.50
S5,P9,IN8,Zenith Low Light,0.90
S5,P9,IN8,Zenith Low Light,0.40
S5,P9,IN8,Zenith Low Light,0.90
S5,P9,IN8,Zenith Low Light,0.60
S5,P9,IN8,Zenith Low Light,1.60
S5,P9,IN9,Zenith Low Light,0.40
S5,P9,IN9,Zenith Low Light,0.50
S5,P9,IN9,Zenith Low Light,0.10
S5,P9,IN9,Zenith Low Light,0.20
S5,P9,IN9,Zenith Low Light,0.10
S5,P9,IN9,Zenith Low Light,0.20
S5,P9,IN9,Zenith Low Light,0.20
S5,P9,IN9,Zenith Low Light,0.70
