Stage,Plastochron,Segment,Treatment,Length
S5,P9,IN9,Zenith Low Light,0.3
S5,P9,IN9,Zenith Low Light,0.3
S5,P9,IN9,Zenith Low Light,0.2
S5,P9,IN9,Zenith Low Light,0.4
S5,P9,IN9,Zenith Low Light,0.5
S5,P9,IN9,Zenith Low Light,0.1
S5,P9,IN9,Zenith Low Light,0.2
S5,P9,IN9,Zenith Low Light,0.1
S5,P9,IN9,Zenith Low Light,0.2
S5,P9,IN9,Zenith Low Light,0.2
S5,P9,IN9,Zenith Low Light,0.7
